,id,date,text,label
0,0,2022-10-20 23:49:50+00:00,@USER Hebe,neutral
1,1,2022-10-20 23:49:33+00:00,"Dag lieve Sanne
Dag lieve Hebe
Ik hoop dat jullie elkaar vastgehouden hebben en dat blijven doen. 
Veel liefde en kracht voor iedereen rondom hen. ❤️ HTTP",joy
2,2,2022-10-20 23:47:25+00:00,'Met het vinden van Sanne en Hebe zijn we niet klaar met ons onderzoek' HTTP via @USER Verschrikkelijk wat deze twee jonge mensen is overkomen. Afgrijselijk. R.I.P. Sanne en Hebe.....,anger
3,3,2022-10-20 22:58:27+00:00,r.i.p.rust zacht Sanne&amp;Hebe jullie zijn nu 2 prachtige engeltjes daarboven en knuffel samen met elkaar het verdriet is erg groot daarom wens ik alle familieleden en alle nabestaanden de komende tijd veel sterkte toe om dit te verwerken een zwaar verlies 🙏🙏 HTTP,joy
4,4,2022-10-20 22:54:49+00:00,Deze foto zegt meer dan 1000 woorden. Mensen die ook maar 1 seconde dachten dat de vrouw het meisje wat aan had gedaan moeten zich kapot schamen. Rust zacht lieve #Hebe en #Sanne. Jullie laten je dierbare helaas te vroeg met intens verdriet achter. U wens ik dan ook veel sterkte HTTP,anger
5,5,2022-10-20 22:43:58+00:00,@USER,neutral
6,6,2022-10-20 22:41:04+00:00,"“Die twee waren een liefdevol plaatje samen”: familie, vrienden en bekenden rouwen om onafscheidelijke Sanne en Hebe HTTP HTTP",joy
7,7,2022-10-20 22:20:48+00:00,Wat laten die paar slecht acterende verrotte mediatrollen zich meeslepen i.v.m. fakenews Hebe Sanne Mark. Er is niemand die zoveel van fakenews houdt als de mediatrol. Nooit zou die enig teken van intellect verraden. Aandoenlijk.🤡,anger
8,8,2022-10-20 22:18:25+00:00,"Autopsie?
Om het een en ander uit te sluiten..💉

Politie gaat uit van noodlottig ongeval Hebe en Sanne: ’Alleen snelle redding had kunnen helpen’ HTTP via @USER",neutral
9,9,2022-10-20 22:16:03+00:00,"“Hebe was voor Sanne een cadeautje, ze deed het werk vol liefde” HTTP HTTP",joy
10,10,2022-10-20 22:04:32+00:00,"Eenzijdig ongeluk .

Dat is de voorlopige conclusie.Ik troost mij met de gedachte dat Hebe in die flauwe bocht heel even extra aandacht van Sanne nodig had en dat die schat met haar linkerhand nog even Hebe liefdevol heeft aangeraakt.

Nu tezamen op een extra mooie wolk . HTTP",anger
11,11,2022-10-20 21:41:26+00:00,@USER @USER Hebe,neutral
12,12,2022-10-20 21:27:49+00:00,“Eén ding weet ik zeker: Sanne reed niet bewust de gracht in”: beste vriend getuigt na dodelijke afloop bij verdwijning Hebe (10) en Sanne (26) HTTP,anger
13,13,2022-10-20 21:23:27+00:00,"“Die twee waren een liefdevol plaatje samen”: familie, vrienden en bekenden rouwen om onafscheidelijke #Sanne en #Hebe  HTTP",joy
14,14,2022-10-20 21:22:48+00:00,"Waarom is er geen vangrail op ongeluksplek Sanne en Hebe?
https://t.co/8zzwBEWBrw
Als het kalf verdronken is dempt men de put 🙈🙈🙈🙈🙈",neutral
15,15,2022-10-20 21:20:44+00:00,Het drama rond Anne en Hebe boeit me meer dan de opgepompte Videoland hype rond stumpertje Hazes #andrehazes,anger
16,16,2022-10-20 21:16:40+00:00,'Met het vinden van #Sanne en #Hebe zijn we niet klaar met ons onderzoek' - HTTP,neutral
17,17,2022-10-20 21:11:16+00:00,"’Hebe was voor Sanne een cadeautje, ze deed het werk vol liefde’ HTTP via @USER",joy
18,18,2022-10-20 21:07:55+00:00,"’Hebe was voor Sanne een cadeautje, ze deed het werk vol liefde’ HTTP #telegraafpremium via @USER",joy
19,19,2022-10-20 21:06:19+00:00,"@USER @USER Ik verneem het wel als jouw onderzoek een andere conclusie heeft. 

Alleen snelle hulpverlening had Hebe (10) en Sanne (26) kunnen redden HTTP",neutral
20,20,2022-10-20 21:06:02+00:00,"HTTP jou lieve Hebe,""mama Ragel halen"" en mijn hand zoals ""gewend"" je vastpakt als je niet nog ""wandelen""bent, in je laatste levensuur,blijven me nog heel lang bij staan.... HTTP",love
21,21,2022-10-20 21:05:34+00:00,"Hebe en Sanne, die gisteren eindelijk werden gevonden, zijn waarschijnlijk omgekomen door een noodlottig ongeval. @USER ‘’De grootste vraag op dit moment is hoe het kan dat op een van de drukste knooppunten van Nederland net voor de spits een auto kan verdwijnen.'' #Op1 HTTP",anger
22,22,2022-10-20 21:00:39+00:00,"Moeten ze terugkomen op Sanne en Hebe? 
Laat die zaak - en de nabestaanden - toch met rust, mensen toch 😔

#op1npo
#op1",anger
